product_type;theme;schedule;google_cat_id;google_cat_hint;notes
Дім і сад > сад > інструменти для обробки грунту > Граблі;tool_garden;day;3388;Home & Garden > Lawn & Garden > Gardening > Gardening Tools > Rakes;auto
Дім і сад > сад > інструменти для обробки грунту > лопати;tool_garden;day;2147;Home & Garden > Lawn & Garden > Gardening > Gardening Tools > Shovels & Spades;auto
"Дім і сад > сад > інструменти для обробки грунту > мотики, сапи, сапки";tool_garden;day;4000;Home & Garden > Lawn & Garden > Gardening > Gardening Tools > Cultivating Tools;auto
Дім і сад > сад > інструменти для обробки грунту > набори садових інструментів;tool_garden;day;3173;Home & Garden > Lawn & Garden > Gardening > Gardening Tools;auto
"Дім і сад > сад > інструменти для обробки грунту > посадочні совки, вилки";tool_garden;day;3644;Home & Garden > Lawn & Garden > Gardening > Gardening Tools > Gardening Trowels;auto
"Дім і сад > сад > інструменти для обробки грунту > ручні культиватори, плуги";tool_garden;day;4000;Home & Garden > Lawn & Garden > Gardening > Gardening Tools > Cultivating Tools;auto
Дім і сад > сад > інструменти для обрізки > кущорізи;tool_garden;day;3120;Home & Garden > Lawn & Garden > Outdoor Power Equipment > Hedge Trimmers;auto
Дім і сад > сад > інструменти для обрізки > пили для обрізки гілок;tool_garden;day;6967;Home & Garden > Lawn & Garden > Gardening > Gardening Tools > Pruning Saws;auto
"Дім і сад > сад > інструменти для обрізки > садові ножиці, секатори, ножі";tool_garden;day;3841;Home & Garden > Lawn & Garden > Gardening > Gardening Tools > Pruning Shears;auto
обладнання та товари для надання послуг > обладнання для автосервісу > обладнання для автомийок > апарати високого тиску;tool_garden;day;1226;Home & Garden > Lawn & Garden > Outdoor Power Equipment > Pressure Washers;auto
"Інструменти > дереворізальний інструмент > ручні пили, ножівки";tool_hand;day;3594;Hardware > Tools > Saws > Hand Saws;auto
Інструменти > металорізальний інструмент > ручні ножиці по металу;tool_hand;day;1454;Hardware > Tools > Cutters > Handheld Metal Shears & Nibblers;auto
Інструменти > набори інструментів;tool_hand;day;4919;Hardware > Tools > Tool Sets;auto
"Інструменти > ручний інструмент > Молотки, кувалди, киянки";tool_hand;day;2208;Hardware > Tools > Hammers > Manual Hammers;auto
"Інструменти > ручний інструмент > будівельні ножі, ножиці";tool_hand;day;2411;Hardware > Tools > Cutters > Utility Knives;auto
"Інструменти > ручний інструмент > будівельні олівці, маркери";tool_hand;day;1832;Hardware > Tools > Marking Tools;auto
Інструменти > ручний інструмент > викрутки;tool_hand;day;1203;Hardware > Tools > Screwdrivers;auto
"Інструменти > ручний інструмент > губцеві інструменти > бокорізи, кусачки";tool_hand;day;7562;Hardware > Tools > Cutters > Nippers;auto
Інструменти > ручний інструмент > губцеві інструменти > затискні кліщі;tool_hand;day;1185;Hardware > Tools > Grips;auto
"Інструменти > ручний інструмент > губцеві інструменти > пасатижі, плоскогубці, тонкогубці";tool_hand;day;1958;Hardware > Tools > Pliers;auto
Інструменти > ручний інструмент > губцеві інструменти > трубні кліщі;tool_hand;day;1632;Hardware > Tools > Wrenches;auto
Інструменти > ручний інструмент > ключі > набори ключів;tool_hand;day;1632;Hardware > Tools > Wrenches;auto
Інструменти > ручний інструмент > ключі > розвідні ключі;tool_hand;day;1632;Hardware > Tools > Wrenches;auto
Інструменти > ручний інструмент > ключі > торцеві головки;tool_hand;day;5571;Hardware > Tool Accessories > Tool Sockets;auto
Інструменти > ручний інструмент > ключі > шестигранні ключі;tool_hand;day;1439;Hardware > Tools > Tool Keys;auto
